Title,Description,Year,Runtime,Genres,Seasons
Shadow and Bone,"In a world cleaved in two by a massive barrier of perpetual darkness, a young soldier uncovers a power that might finally unite her country. But as she struggles to hone her power, dangerous forces plot against her. Thugs, thieves, assassins and saints are at war now, and it will take more than magic to survive.",2021,52,"['scifi', 'drama', 'fantasy', 'action']",1.0
Lupin,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",2021,46,"['crime', 'drama', 'comedy', 'action']",3.0
The Guardians of Justice,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world — and in themselves.",2022,29,['scifi'],1.0
Brand New Cherry Flavor,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control.",2021,43,"['thriller', 'drama', 'horror', 'scifi']",1.0
Human Resources,"Lovebugs, Hormone Monsters and a parade of other creatures juggle romance, workplace drama and their human clients' needs in this ""Big Mouth"" spinoff.",2022,27,"['comedy', 'romance', 'animation']",1.0
All of Us Are Dead,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,2022,61,"['action', 'scifi', 'thriller', 'drama', 'fantasy', 'horror']",1.0
Heirs to the Land,Resourceful young Hugo Llor works to make a name for himself in 14th-century Barcelona while keeping a vow he made to the Estanyol family.,2022,54,"['comedy', 'scifi', 'drama', 'history']",1.0
Behind Her Eyes,"It follows Louise, a single mom with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.",2021,50,"['drama', 'thriller']",1.0
Is It Cake?,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022,38,['reality'],1.0
The Andy Warhol Diaries,"After he's shot in 1968, Andy Warhol begins documenting his life and feelings. Those diaries, and this series, reveal the secrets behind his persona.",2022,66,['documentation'],1.0
The Cuphead Show!,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.,2022,15,"['family', 'fantasy', 'animation', 'action', 'comedy']",1.0
Cowboy Bebop,"Long on style and perpetually short on cash, bounty hunters Spike, Jet and Faye trawl the solar system looking for jobs. But can they outrun Spike's past?",2021,45,"['scifi', 'comedy', 'crime', 'drama', 'fantasy', 'action']",1.0
The 7 Lives of Lea,"After finding a young man's remains, Léa wakes up in the 90s and body swaps seven times as she tries to solve the mystery of his death — and prevent it.",2022,41,"['drama', 'thriller', 'crime', 'fantasy']",1.0
The Silent Sea,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets.",2021,45,"['horror', 'drama', 'scifi', 'thriller']",1.0
Sweet Tooth,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",2021,45,"['scifi', 'drama', 'fantasy', 'action']",2.0
Clickbait,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",2021,46,"['thriller', 'crime', 'drama']",1.0
Worst Roommate Ever,Violent scammers. Cold killers. These terrifying true stories are some of the right-wing cohabitation experiences one can ever imagine.,2022,47,"['crime', 'documentation', 'drama', 'thriller']",1.0
Hellbound,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",2021,52,"['scifi', 'horror', 'thriller', 'crime', 'drama', 'fantasy']",1.0
In from the Cold,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.",2022,49,"['drama', 'scifi', 'thriller', 'action', 'crime']",1.0
Komi Can't Communicate,"At a high school full of unique characters, Tadano helps his shy and unsociable classmate Komi reach her goal of making friends with 100 people.",2021,24,"['drama', 'comedy', 'animation', 'romance']",2.0
Tomorrow,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",2022,60,"['drama', 'action', 'comedy', 'fantasy']",1.0
Bullsh*t the Game Show,"Throughout the game, players will work their way up a money ladder either by answering questions correctly or by confidently giving incorrect answers - and persuading others that they are accurate.",2022,0,['reality'],1.0
Ginny & Georgia,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",2021,54,"['drama', 'comedy']",1.0
Inside Job,"For employees of the Deep State, conspiracies aren't just theories — they're fact. And keeping them a secret is a full-time job.",2021,28,"['comedy', 'fantasy', 'scifi', 'animation']",1.0
Dirty Lines,"The story of Dirty Lines starts in 1987's Amsterdam, at a time when Dutch society was changing rapidly. Psychology student Marly Salomon takes on a side job working for a brand new firm: Teledutch - a company started by two brothers, Frank and Ramon Stigter, who established Europe’s first erotic telephone lines. Frank and Ramon become rich overnight and Marly finds herself immersed in this wild and rapid transformation. The final years of the Cold War sparked a sense of hope and inspired a new generation to celebrate life to its fullest. Amsterdam became the center of that cultural revolution with a radically new form of music: house and a new love drug: XTC. The erotic phone lines offer the opportunity to experience anonymous sex in a new way, changing the morality of its consumers, but also very much the people creating it.",2022,46,"['drama', 'history']",1.0
Trivia Quest,"History, art, science, pop culture and more — quiz yourself across varying levels of difficulty in this interactive trivia series.",2022,9,"['family', 'fantasy', 'animation']",1.0
The Chair,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",2021,30,"['drama', 'comedy']",1.0
Sex/Life,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,2021,48,"['drama', 'romance', 'comedy']",2.0
The Chestnut Man,"At a grisly murder scene sits a figurine made of chestnuts. From this creepy clue, two detectives hunt a killer linked to a politician's missing child.",2021,55,"['crime', 'drama', 'thriller']",1.0
My Liberation Notes,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",2022,62,"['drama', 'romance']",1.0
jeen-yuhs,"Kanye West docu-series, over 20 years in the making",2022,93,"['documentation', 'music']",1.0
True Story,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.,2021,39,"['drama', 'thriller', 'comedy', 'crime']",1.0
Halston,American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,2021,47,['drama'],1.0
Anxious People,"A failed bank robber locks himself in a home, along with a real estate agent, two IKEA addicts, a pregnant woman, a suicidal millionaire and a rabbit.",2021,29,"['crime', 'drama', 'comedy']",1.0
Young Royals,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",2021,45,"['drama', 'romance']",1.0
Resident Evil: Infinite Darkness,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House.",2021,27,"['action', 'scifi', 'horror', 'animation']",1.0
Our Blues,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,2022,68,['drama'],1.0
The Serpent,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",2021,57,"['drama', 'thriller', 'crime']",1.0
Hit & Run,"A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.  Grief-stricken and confused, he searches for his wife's killers, who have fled to the U.S.  With the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him.",2021,49,"['action', 'drama', 'thriller', 'crime']",1.0
Blood Sisters,"Connected by a dangerous secret, best friends Sarah and Kemi are forced to flee after a wealthy groom disappears at his own engagement party.",2022,57,"['crime', 'drama', 'thriller']",1.0
Wild Babies,"Follow the adventures of baby lions, elephants, penguins, pangolins and more as they learn to navigate the highs and lows of life in the wild.",2022,30,['documentation'],1.0
Murder Among the Mormons,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,2021,53,"['crime', 'history', 'documentation']",1.0
Katla,"A year after a subglacial volcano erupts, mysterious elements from prehistoric times emerge from the melting ice, bringing unforeseen consequences.",2021,46,"['scifi', 'thriller', 'drama']",1.0
The Last Bus,"After embarking on a life-changing field trip, a group of whip-smart students fight to save humanity from an army of ruthless drones.",2022,35,"['scifi', 'comedy', 'drama', 'family', 'fantasy']",1.0
Cracow Monsters,A young woman haunted by her past joins a mysterious professor and his group of gifted students who investigate paranormal activity — and fight demons.,2022,52,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",1.0
The Puppet Master: Hunting the Ultimate Conman,"In this harrowing docuseries, a cruel conman masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake.",2022,42,"['crime', 'documentation']",1.0
Twenty Five Twenty One,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022,76,"['drama', 'romance']",1.0
Firefly Lane,"For decades, childhood best friends Kate and Tully have weathered life's storms together -- until a betrayal threatens to break them apart for good.",2021,52,"['drama', 'romance']",1.0
The Billion Dollar Code,"In 1990s Berlin, an artist and a hacker invented a new way to see the world. Years later, they reunite to sue Google for patent infringement on it.",2021,67,"['drama', 'thriller', 'crime']",1.0
The Principles of Pleasure,"Sex, joy and modern science converge in this eye-opening series that celebrates the complex world of women's pleasure — and puts stubborn myths to rest.",2022,51,['documentation'],1.0
Attenborough's Life in Colour,Exploring the vital role colour plays in the daily lives of many species.,2021,51,['documentation'],1.0
Making Fun,Grumpy expert maker Jimmy DiResta fields kids' ideas for delightfully pointless inventions. Then — if he's in the mood — he and his pals build 'em.,2022,41,['reality'],1.0
The Irregulars,"Set in Victorian London, the series follows a gang of troubled street teens who are manipulated into solving crimes for the sinister Doctor Watson and his mysterious business partner, the elusive Sherlock Holmes.",2021,53,"['crime', 'drama', 'fantasy', 'scifi']",1.0
My Name,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.",2021,50,"['thriller', 'action', 'crime', 'drama']",1.0
Turning Point: 9/11 and the War on Terror,"Modern history can be divided into two time frames: before 9/11 and after 9/11. This five-part docuseries is a cohesive chronicle of the September 11, 2001 attacks on the U.S., offering illuminating perspectives and personal stories of how the catastrophic events of that day changed the course of the nation.",2021,62,"['war', 'history', 'documentation']",1.0
How to Become a Tyrant,"To govern with an iron fist, it is necessary to know very well the game of absolute power. The documentary series explores different political figures throughout history.",2021,27,"['war', 'history', 'documentation']",1.0
Who Killed Sara?,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.",2021,41,"['drama', 'crime', 'thriller']",3.0
The Innocent,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",2021,58,"['crime', 'drama', 'thriller']",1.0
Masters of the Universe: Revelation,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,2021,26,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'comedy']",2.0
Maya and the Three,A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.,2021,131,"['comedy', 'drama', 'family', 'fantasy', 'animation', 'action']",1.0
Night Stalker: The Hunt for a Serial Killer,"Beneath the sunlit glamour of 1985 L.A. lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",2021,47,"['crime', 'documentation']",1.0
The Girl from Oslo,"Pia and two Israelis are kidnapped by IS terrorists in the Sinai desert, and threatened with death if twelve IS prisoners are not released.",2021,31,"['drama', 'thriller']",1.0
Samurai Rabbit: The Usagi Chronicles,"A teenage rabbit aspiring to become a real samurai teams up with new warrior friends to protect their city from Yokai monsters, ninjas and evil aliens.",2022,25,"['action', 'fantasy', 'scifi', 'animation', 'comedy', 'family']",1.0
Vincenzo,"Vincenzo Cassano is an Italian lawyer and Mafia consigliere who moves back to Korea due to a conflict within his organization. He ends up crossing paths with a sharp-tongued lawyer named Cha-young, and the two join forces in using villainous methods to take down villains who cannot be punished by the law.",2021,81,"['action', 'comedy', 'crime', 'drama', 'romance']",1.0
The One,"Love -- and lies -- spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",2021,42,"['crime', 'drama', 'scifi', 'thriller', 'action']",1.0
Feria: The Darkest Light,Two sisters must face a new reality — and supernatural elements — when it's revealed their parents participated in a cult ritual ending in death.,2022,50,"['scifi', 'crime', 'drama', 'fantasy', 'horror', 'thriller']",1.0
Midnight at the Pera Palace,"At a historic Istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern Turkey.",2022,44,"['crime', 'drama', 'history']",1.0
VOIR,"Film lovers examine the cinematic moments that thrilled, perplexed, challenged and forever changed them in this collection of visual essays.",2021,20,['documentation'],1.0
Jupiter's Legacy,"As the world's first generation of superheroes (who received their powers in the 1930s) become the revered elder guard in the present, their superpowered children struggle to live up to the legendary feats of their parents.",2021,45,"['scifi', 'action', 'drama', 'fantasy']",1.0
Smother-In-Law,"Living with her family since the pandemic struck, the meddling Isadir does her best to disrupt the lives of her bumbling son and rival daughter-in-law.",2022,25,['comedy'],1.0
Pretend It's a City,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",2021,29,"['comedy', 'documentation']",1.0
Crime Scene: The Vanishing at the Cecil Hotel,The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.,2021,55,"['documentation', 'crime', 'thriller']",1.0
Super Crooks,Johnny Bolt recruits a group of ragtag supervillains for one last heist. Their target: A ruthless super-powered crime boss. What can go wrong?,2021,30,"['scifi', 'drama', 'animation', 'action', 'crime', 'fantasy']",1.0
Life After Death with Tyler Henry,Clairvoyant medium Tyler Henry offers clarity and closure from the beyond while searching through his own family's past in an intimate reality series.,2022,43,['reality'],1.0
Catching Killers,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.",2021,40,"['documentation', 'crime']",2.0
Animal,"This immersive series follows the world's most magnificent creatures, capturing never-before-seen moments from the heartwarming to the outrageous.",2021,45,['documentation'],2.0
Hometown Cha-Cha-Cha,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021,78,"['comedy', 'romance', 'drama']",1.0
Mai,A grieving mother discovers the criminals behind her daughter's tragic death and transforms from meek to merciless to get the real story.,2022,48,"['crime', 'drama']",1.0
Green Mothers' Club,"Five moms in a competitive grade school community keep their enemies close, and one another closer, as envy and secrets tangle and unravel their lives.",2022,69,['drama'],1.0
Chosen,A 17-year-old girl's world is turned upside down when she and her friends make a disturbing discovery in their quiet Danish town.,2022,44,"['scifi', 'thriller', 'drama']",1.0
An astrological guide for broken hearts,"Mid-thirties and still single (certainly not by choice), Alice is working at a small television network in a job with limited upward mobility, despite often being the most competent person in the room. To add insult to injury, her ex-boyfriend Carlo is getting married and about to become a father. And as if that weren't enough, in the small television production company she works for, a new charming and mysterious creative director, Davide, arrives to put everyone to the test. Alice's life begins to change when she meets Tio, an actor on the network's flagship soap opera and self-professed astrological guru, who will soon become her personal ""astrological guide for broken hearts"".",2021,34,"['comedy', 'romance']",2.0
Sophie: A Murder in West Cork,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.,2021,55,"['crime', 'documentation', 'history']",1.0
Standing Up,"From odd jobs to the hunt for viral fame, making a career in stand-up comedy isn't easy, but four friends risk everything to make the world laugh.",2022,46,"['comedy', 'drama']",1.0
Who Rules The World,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",2022,44,"['drama', 'fantasy', 'romance']",1.0
Monsters Inside: The 24 Faces of Billy Milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,61,"['crime', 'documentation']",1.0
Countdown: Inspiration4 Mission to Space,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",2021,50,['documentation'],1.0
Glória,A small town in Portugal becomes engulfed in a web of political intrigue when a young engineer is recruited as a KGB spy in this historical thriller.,2021,44,"['drama', 'history', 'thriller']",1.0
This Is a Robbery: The World's Biggest Art Heist,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime.",2021,53,"['crime', 'history', 'documentation']",1.0
Heist,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,2021,43,"['crime', 'documentation']",1.0
History of Swear Words,This proudly profane series explores the history and impact of some of the most notorious bad words in the English language.,2021,21,"['comedy', 'documentation']",1.0
Trese,"Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings.",2021,29,"['crime', 'action', 'fantasy', 'horror', 'thriller', 'animation', 'scifi']",1.0
The Sound of Magic,An enigmatic magician living in an abandoned amusement park introduces magic into the life of a high schooler struggling with harsh realities.,2022,69,"['drama', 'fantasy', 'music']",1.0
High on the Hog: How African American Cuisine Transformed America,"Black food is American food. Chef and writer Stephen Satterfield traces the delicious, moving throughlines from Africa to Texas in this docuseries.",2021,47,['documentation'],1.0
He's Expecting,"When a successful ad executive who's got it all figured out becomes pregnant, he's forced to confront social inequities he'd never considered before.",2022,26,"['drama', 'comedy', 'romance']",1.0
He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021,26,"['scifi', 'action', 'fantasy', 'animation', 'comedy', 'drama', 'family']",2.0
Colin in Black & White,The life of athlete Colin Kaepernick and his adoptive parents as they navigate the challenges of raising a black son in a white family and community.,2021,32,"['drama', 'sport']",1.0
The Sons of Sam: A Descent Into Darkness,"The Son of Sam case grew into a lifelong obsession for journalist Maury Terry, who became convinced that the murders were linked to a satanic cult.",2021,60,"['documentation', 'crime', 'history']",1.0
Crime Scene: The Times Square Killer,"In 1970s NYC, the “Torso Killer” preys on women to fulfill his grotesque fantasies while eluding police. A docuseries dive into crime’s darkest places.",2021,49,"['crime', 'documentation', 'history']",1.0
Gone for Good,"Ten years ago, he lost two loved ones. When his fiancée disappears, he must uncover buried secrets — or lose everything. Based on Harlan Coben's novel.",2021,49,"['drama', 'crime', 'thriller']",1.0
High-Rise Invasion,"High-school girl Yuri suddenly finds herself on the rooftop of a high-rise building. She's trapped in a bizarre world surrounded by skyscrapers, where a masked man cracked open a man's head with an axe before her eyes. Finding a way to survive this bizarre world, find her beloved brother, and escape becomes her top priority, but she is beset by danger not just from the mysterious Masks, which possess both inhuman strength and cruelty, but other survivors turned cruel or desparate by the insanity of the high-rise world.",2021,25,"['action', 'horror', 'scifi', 'thriller', 'animation']",1.0
Record of Ragnarok,"Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.",2021,24,"['scifi', 'drama', 'fantasy', 'thriller', 'animation', 'action']",1.0
"Money, Explained","We spend it, we borrow it, and save it. Now let's talk about money and its many minefields, from credit cards to casino, scammers to student loans.",2021,23,['documentation'],1.0
The Way of the Househusband,"Tatsu, a notorious and feared yakuza leader nicknamed ""The Immortal Dragon,"" withdraws from the criminal syndicate and becomes a housekeeper to help his wife, Miku. The series features a variety of comedic settings, typically showing Tatsu's domestic activities and intimidating inequality with his looks, as well as multiple encounters with his former colleagues and rivals in the Japanese Criminal Syndicate.",2021,17,"['animation', 'action', 'comedy', 'crime', 'drama', 'romance']",1.0
Fate: The Winx Saga,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",2021,50,"['scifi', 'drama', 'fantasy', 'action']",1.0
Shaman King,"Shaman King follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",2021,23,"['comedy', 'fantasy', 'animation', 'action', 'scifi']",1.0
Jaguar,"In 1960s Spain, a Holocaust survivor joins a group of agents seeking justice against the hundreds of Nazis who fled to the nation to hide after WWII.",2021,43,"['war', 'action', 'drama', 'history']",1.0
Yasuke,"In a war-torn feudal Japan filled with mechs and magic, the greatest ronin never known, Yasuke, struggles to maintain a peaceful existence after a past life of violence. But when a local village becomes the center of social upheaval between warring daimyo, Yasuke must take up his sword and transport a mysterious child who is the target of dark forces and bloodthirsty warlords.",2021,29,"['scifi', 'action', 'drama', 'fantasy', 'thriller', 'animation']",1.0
Saturday Morning All Star Hits!,Follows Skip and Treybor as they celebrate all that is 80s and 90s television.,2021,23,"['animation', 'comedy']",1.0
Post Mortem: No One Dies in Skarnes,"Live Hallangen is declared dead but hours later she suddenly wakes up with a sudden urge for blood. Meanwhile, her brother Odd tries to keep the family driven funeral home afloat.",2021,45,"['thriller', 'comedy', 'drama']",1.0
The Cook of Castamar,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",2021,54,['drama'],1.0
Thirty-Nine,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",2022,73,"['drama', 'romance']",1.0
Blippi Wonders,"Ever curious Blippi sets off on comedic and fun adventures in his BlippiMobile along with his faithful sidekicks TABBS & FETCH, who help him find the answers to a burning question of the day. This animated series allows us to take Blippi places he couldn't normally go in live-actions and appeal audiences around the world.",2021,7,['animation'],1.0
Bulgasal: Immortal Souls,The story of a woman who has gone through several reincarnations over the course of 600 years and remembers all of her past lives and a man who has lived for over 600 years as a mythical creature that feeds off human blood and is cursed with immortality.,2021,71,"['scifi', 'thriller', 'drama', 'fantasy']",1.0
Pretty Smart,A self-proclaimed intellectual is forced to move in with her carefree sister and her sister's lovably eccentric friends.,2021,24,"['comedy', 'drama', 'romance']",1.0
Jump like a Witch,Female celebrities gather on court to learn from seasoned coaches and train for victory as members of a newly formed amateur basketball team.,2022,97,['reality'],1.0
My Unorthodox Life,The personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group.,2021,40,['reality'],1.0
On the Verge,"Four women, a chef, a single mom, an heiress, and a job seeker dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",2021,32,"['comedy', 'drama']",1.0
